Title,Author,Ave_rating,Rating_cnt,Review_cnt,Year,Pages,Publisher
The Cross of Lead,Avi,3.61,21124,1915,2004,262,Hyperion Books for Children
The Higher Power of Lucky,Susan Patron,3.57,12297,1490,2006,144,Atheneum/Richard Jackson Books
Hurricane Child,Kheryn Callender,3.85,903,240,2018,256,Scholastic
Story Thieves,James  Riley,4.04,3966,605,2015,400,Aladdin
The Silver Mask,Holly Black,4.09,7842,922,2017,200,Scholastic Press
See You at Harry's,Jo Knowles,4.12,12020,1648,2012,310,Candlewick Press
Flyte,Angie Sage,4.0,65120,1612,2007,521,HarperCollins Publishers
Anne of Avonlea,L.M. Montgomery,4.22,121574,3917,1997,304,Random House Children's Books
The Great Gilly Hopkins,Katherine Paterson,3.84,19978,1167,1996,148,Heinemann Educational
Invisible Emmie,Terri Libenson,3.89,4514,577,2017,192,Balzer + Bray
Masterminds,Gordon Korman,4.25,6015,964,2015,336,Balzer &amp; Bray
Lucky Broken Girl,Ruth Behar,3.95,2285,569,2017,243,Nancy Paulsen Books
Monstrous,MarcyKate Connolly,3.8,1746,413,2015,432,HarperCollins Children's Books
The Ghosts of Tupelo Landing,Sheila Turnage,4.17,5406,686,2014,368,Kathy Dawson Books
Keys to the Demon Prison,Brandon Mull,4.43,66444,3227,2010,593,Shadow Mountain
Gregor and the Curse of the Warmbloods,Suzanne Collins,4.21,37934,1446,2006,358,Scholastic Paperbacks
The Alchemyst,Michael Scott,3.85,126029,7832,2010,390,Corgi Childrens
Black Beauty,Anna Sewell,3.95,214134,4103,2003,245,Scholastic Paperbacks
Tales from a Not-So-Fabulous Life,Rachel Renée Russell,4.16,43106,2929,2009,282,Aladdin
Eragon,Christopher Paolini,3.88,1276136,20261,2005,503,Alfred A. Knopf
One False Note,Gordon Korman,3.89,47285,1644,2008,174,Scholastic Inc.
Willa of the Wood,Robert  Beatty,4.23,2261,586,2018,384,Disney-Hyperion
When the Sea Turned to Silver,Grace Lin,4.34,2668,516,2016,384,"Little, Brown Books for Young Readers"
Baba Yaga's Assistant,Marika McCoola,3.88,5266,679,2015,132,Candlewick Press
Sky Raiders,Brandon Mull,4.17,13665,1220,2014,432,Aladdin
Dear Mr. Henshaw,Beverly Cleary,3.72,32424,1417,2000,134,HarperCollins
Nightbooks,J.A. White,3.98,999,263,2018,304,Katherine Tegen Books
The Land of Forgotten Girls,Erin Entrada Kelly,3.88,1452,324,2016,299,Greenwillow Books
The Candymakers,Wendy Mass,4.31,19617,1725,2010,453,"Little, Brown Books for Young Readers"
The Willoughbys,Lois Lowry,3.77,10760,1882,2008,174,HMH Books for Young Readers
"It Ain't So Awful, Falafel",Firoozeh Dumas,4.25,2606,613,2016,378,Clarion Books
Found,Margaret Peterson Haddix,3.98,35483,3701,2008,320,Simon  Schuster Books for Young Readers
Ramona the Pest,Beverly Cleary,4.06,57574,1260,2000,192,Oxford University Press
The Long Winter,Laura Ingalls Wilder,4.14,72549,1556,2007,422,HarperTrophy
The Key to Extraordinary,Natalie Lloyd,4.15,3209,564,2016,240,Scholastic Press
The Frog Princess,E.D. Baker,3.82,25040,1218,2004,215,Bloomsbury Children's Books
The Charmed Children of Rookskill Castle,Janet Fox,3.6,1740,376,2016,388,Viking Books For Young Readers
The Princess Curse,Merrie Haskell,4.01,5405,636,2011,328,HarperCollins
The Cardboard Kingdom,Chad Sell,4.15,2014,388,2018,288,Knopf Books for Young Readers
The Hidden Gallery,Maryrose Wood,4.05,7254,847,2011,313,Balzer + Bray
The Outsiders,S.E. Hinton,4.08,796723,28640,1997,192,Puffin Books (US/CAN)
Princess Princess Ever After,Katie O'Neill,4.21,3867,921,2016,53,Oni Press
Unusual Chickens for the Exceptional Poultry Farmer,Kelly        Jones,3.91,3330,602,2015,224,Knopf Books for Young Readers
Searching for Dragons,Patricia C. Wrede,4.26,39384,978,2002,242,HMH Books for Young Readers
Kira-Kira,Cynthia Kadohata,3.92,21304,2521,2006,272,Atheneum Books for Young Readers
Paper Wishes,Lois Sepahban,4.05,1930,498,2016,192,"Farrar, Straus and Giroux (BYR)"
The Riverman,Aaron Starmer,3.81,2338,494,2014,320,"Farrar, Straus and Giroux (BYR)"
P.S. Be Eleven,Rita Williams-Garcia,4.02,5681,661,2013,272,Amistad
Gregor and the Marks of Secret,Suzanne Collins,4.23,29048,1155,2007,343,Scholastic Paperbacks
100 Cupboards,N.D. Wilson,3.78,14350,2011,2007,289,Random House Books for Young Readers
By the Shores of Silver Lake,Laura Ingalls Wilder,4.17,62895,1096,2007,357,HarperTrophy
New Kid,Jerry Craft,4.29,2014,369,2019,256,HarperCollins
Prince of the Elves,Kazu Kibuishi,4.38,12946,917,2012,203,Graphix
Wayside School Is Falling Down,Louis Sachar,4.17,53361,874,1990,152,Avon Camelot
The Secret of Platform 13,Eva Ibbotson,3.94,11995,720,2001,231,Puffin Books
The Girl Who Could Fly,Victoria Forester,4.07,12904,2047,2008,328,Feiwel &amp; Friends
Heidi,Johanna Spyri,3.98,162720,3224,2002,352,Kingfisher
Cabin Fever,Jeff Kinney,4.22,81151,3836,2011,224,Amulet Books
The Prince and the Dressmaker,Jen Wang,4.45,17016,3981,2018,288,First Second
"Nine, Ten: A September 11 Story",Nora Raleigh Baskin,4.01,4699,802,2016,208,Atheneum Books for Young Readers
Kristy's Great Idea,Raina Telgemeier,4.16,19851,1023,2006,186,Turtleback Books
The Creeping Shadow,Jonathan Stroud,4.51,8404,1291,2016,445,Disney-Hyperion
A Handful of Stars,Cynthia Lord,4.16,4248,672,2015,192,Scholastic
The Forbidden Library,Django Wexler,3.79,3330,553,2014,376,Kathy Dawson Books
The Third Wheel,Jeff Kinney,4.21,60355,2978,2012,224,Amulet Books
The Mighty Miss Malone,Christopher Paul Curtis,4.09,13266,1188,2012,320,Wendy Lamb Books
May B.,Caroline Starr Rose,3.81,5268,894,2012,240,Schwartz &amp; Wade
A Grimm Warning,Chris Colfer,4.53,23854,1690,2014,448,"Little, Brown Books for Young Readers"
One Came Home,Amy Timberlake,3.82,8582,1270,2013,272,Knopf Books for Young Readers
All Four Stars,Tara Dairman,4.16,2227,456,2014,288,G.P. Putnam's Sons Books for Young Readers
A Long Way from Chicago,Richard Peck,3.93,30619,2256,2004,160,Puffin Books
The Goldfish Boy,Lisa   Thompson,4.1,3798,673,2017,320,Scholastic Press
Me and Marvin Gardens,A.S. King,3.88,1529,382,2017,256,Arthur A. Levine Books
The Terrible Two,Mac Barnett,4.09,7079,837,2015,218,Harry N. Abrams
Ungifted,Gordon Korman,4.01,15417,2020,2012,280,Balzer + Bray
The Nameless City,Faith Erin Hicks,4.09,5360,713,2016,232,First Second
Mr. Lemoncello's Library Olympics,Chris Grabenstein,4.21,7574,1024,2016,288,Random House Books for Young Readers
Gertie's Leap to Greatness,Kate Beasley,3.91,1539,394,2016,256,"Farrar, Straus and Giroux (BYR)"
The Shrunken Head,Lauren Oliver,3.73,1744,338,2015,368,HarperCollins Children's Books 
Turtle in Paradise,Jennifer L. Holm,3.93,16826,1857,2010,177,Random House Books for Young Readers
The Mouse and the Motorcycle,Beverly Cleary,3.92,71384,1688,2014,186,HarperCollins
The Case of the Missing Marquess,Nancy Springer,3.85,7910,930,2006,224,Philomel
Wait Till Helen Comes,Mary Downing Hahn,4.14,17481,2025,1987,184,"Harper Collins, Inc."
The Underneath,Kathi Appelt,3.95,9429,1783,2008,313,Atheneum Books for Young Readers
The Wild Robot Escapes,Peter  Brown,4.38,4098,702,2018,279,"Little, Brown Books for Young Readers"
Midnight Without a Moon,Linda Williams Jackson,4.19,914,259,2017,320,HMH Books for Young Readers
Forget Me Not,Ellie Terry,4.29,2118,535,2017,336,Feiwel &amp; Friends
Nooks & Crannies,Jessica  Lawson,4.04,1785,349,2015,320,Simon  Schuster Books for Young Readers
Escape from Lucien,Kazu Kibuishi,4.36,9693,795,2014,224,Graphix
Wednesdays in the Tower,Jessica Day George,4.06,5846,747,2013,240,Bloomsbury Children's
Calling on Dragons,Patricia C. Wrede,4.19,38865,709,2003,244,HMH Books for Young Readers
Caddie Woodlawn,Carol Ryrie Brink,4.0,42294,1307,2006,288,Aladdin
So B. It,Sarah Weeks,4.1,30562,2740,2005,288,HarperCollins
The Prophet of Yonwood,Jeanne DuPrau,3.27,26059,2284,2006,289,Yearling Books
Winterhouse,Ben  Guterson,4.01,1518,333,2018,384,Henry Holt and Co. (BYR)
The Hollow Boy,Jonathan Stroud,4.36,10545,1512,2015,385,Disney-Hyperion
The Doldrums,Nicholas Gannon,3.82,2021,424,2015,364,Greenwillow Books
The Adventures of Tom Sawyer,Mark Twain,3.9,674220,8533,2006,244,Penguin Classics
Paperboy,Vince Vawter,3.95,8782,1447,2013,240,Delacorte Books for Young Readers
The Peculiar,Stefan Bachmann,3.63,4011,705,2012,376,Greenwillow Books 
Winterling,Sarah Prineas,3.96,3931,382,2012,248,HarperCollins
The Secret Keepers,Trenton Lee Stewart,4.05,3506,582,2016,512,"Little, Brown Books for Young Readers"
The Gallery,Laura Marx Fitzgerald,3.72,1844,377,2016,321,Dial Books
The Capture,Kathryn Lasky,3.9,22614,1440,2003,222,Scholastic Paperbacks
Clayton Byrd Goes Underground,Rita Williams-Garcia,3.83,1537,345,2017,176,Amistad
Iron Hearted Violet,Kelly Barnhill,3.85,2276,376,2012,424,"Little, Brown and Company"
The Sword Thief,Peter Lerangis,3.88,45473,1217,2009,156,"Scholastic, Inc."
Skellig,David Almond,3.79,19613,2107,2001,208,Laurel Leaf
Breakout,Kate Messner,4.23,1363,362,2018,448,Bloomsbury Children's Books
Mark of the Thief,Jennifer A. Nielsen,3.93,7553,1143,2015,352,Scholastic Press
